CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
8909,670,Spain,Female,29,9,0.0,2,1,0,27359.19
1745,529,France,Male,30,2,116295.29,1,1,0,75285.47
7851,758,Germany,Male,68,6,112595.85,1,1,0,35865.44
1452,687,France,Female,35,3,99587.43,1,1,1,1713.1
319,429,France,Male,24,4,95741.75,1,1,0,46170.75
8593,610,Germany,Male,36,7,115462.02,1,0,1,42581.04
3333,619,Germany,Female,41,5,92467.58,1,1,0,38270.47
1922,625,France,Male,36,9,108546.16,3,1,0,133807.77
5865,663,France,Male,39,4,0.0,1,1,0,76884.05
9528,739,France,Male,34,9,0.0,1,1,0,60584.33
3685,695,Spain,Female,39,5,0.0,2,0,0,102763.69
4275,536,France,Male,32,7,178011.5,2,1,0,22375.14
4889,691,Germany,Female,41,8,109153.96,3,1,1,148848.76
5225,615,France,Male,66,7,0.0,2,1,1,74580.8
7472,448,France,Female,36,6,83947.12,2,1,0,81999.53
3605,588,Germany,Female,34,10,129417.82,1,1,0,153727.32
1052,607,Germany,Male,38,3,98205.77,1,1,0,176318.27
4156,605,Germany,Female,43,8,125338.8,2,1,0,23970.13
9676,585,France,Female,34,1,0.0,1,1,1,75503.6
99,413,France,Male,34,9,0.0,2,0,0,6534.18
7508,566,Germany,Male,54,4,118614.6,2,1,1,172601.62
1456,639,Spain,Male,28,8,0.0,2,1,0,126561.07
7688,713,Germany,Male,45,4,131038.14,1,1,0,74005.04
4004,530,Spain,Female,41,4,0.0,2,0,1,147606.71
6866,675,Spain,Male,32,8,197436.82,1,1,1,52710.7
4509,572,Germany,Female,35,1,139979.07,1,1,0,185662.84
3299,825,France,Male,34,9,0.0,2,1,1,31933.06
3799,458,Spain,Female,35,5,166492.48,1,1,0,135287.74
4281,554,Spain,Female,41,4,112152.89,1,0,1,36242.19
9051,671,Germany,Female,31,6,105864.6,2,1,0,145567.34
6462,467,France,Male,57,1,0.0,2,1,1,114448.77
7912,642,France,Male,35,2,133161.95,1,0,1,122254.86
1414,485,Germany,Female,30,5,156771.68,1,1,1,141148.21
540,833,France,Male,37,8,151226.18,2,1,1,136129.49
5815,802,Germany,Female,41,4,90757.64,2,0,1,169183.66
8199,810,France,Male,32,9,120879.73,2,0,1,78896.59
3680,850,Spain,Male,22,3,0.0,1,1,1,144385.54
754,838,Spain,Female,39,5,166733.92,2,1,0,14279.44
4196,625,Spain,Female,57,7,0.0,1,0,0,84106.17
2650,587,France,Male,33,5,100116.82,1,1,0,34215.58
4522,629,Spain,Male,39,5,0.0,2,0,0,116748.14
9519,610,France,Female,27,2,0.0,2,1,0,14546.76
3118,451,France,Male,33,6,0.0,2,1,0,184954.11
3728,675,Spain,Male,66,5,115654.47,2,1,1,131970.86
3886,710,Germany,Male,34,8,147833.3,2,0,1,1561.58
7107,711,Germany,Female,45,1,97486.15,2,1,0,50610.62
8068,619,Germany,Male,29,4,98955.87,1,0,1,131712.51
7325,761,Spain,Female,34,2,0.0,2,1,0,61251.25
8483,433,Spain,Male,34,9,152806.74,1,1,0,19687.99
8767,552,France,Male,29,10,0.0,2,1,0,12186.83
6500,582,France,Female,43,5,153313.67,1,0,0,170563.73
8426,514,France,Male,26,1,0.0,2,0,0,121551.93
7963,630,France,Male,37,6,0.0,2,1,1,82647.65
601,762,Spain,Female,26,7,123709.46,2,1,1,169654.57
9249,787,Spain,Female,39,7,171646.76,1,0,1,100791.36
8919,673,France,Male,32,8,121240.76,1,1,0,116969.73
6814,445,France,Male,25,6,0.0,2,1,0,119425.94
5411,642,France,Female,40,7,0.0,2,1,0,10712.82
8747,579,France,Female,29,10,73194.52,2,1,1,129209.09
5522,817,France,Female,37,6,81070.34,2,1,0,80985.88
1044,670,France,Female,38,4,119624.54,2,1,1,110472.12
7334,616,France,Male,18,6,0.0,2,1,1,27308.58
1557,515,Germany,Male,37,2,90432.92,1,1,1,188366.04
3739,627,France,Female,32,1,0.0,1,1,0,106851.7
3522,659,France,Female,38,9,0.0,2,1,1,132809.18
180,850,Spain,Female,45,2,122311.21,1,1,1,19482.5
2115,404,Germany,Female,54,4,125456.07,1,1,0,83715.66
1699,696,Germany,Female,31,8,122021.92,2,1,0,33828.64
1379,668,Germany,Female,32,10,92041.87,1,1,1,43595.9
7229,716,France,Female,29,6,0.0,2,1,1,98998.61
9143,676,France,Female,34,8,100359.54,1,0,0,46038.28
618,546,Spain,Male,42,7,139070.51,1,1,1,86945.0
3181,575,Spain,Female,37,9,133292.45,1,1,0,111175.09
9851,671,Germany,Male,28,8,119859.52,2,1,0,125422.66
1600,517,France,Male,28,2,115062.61,1,1,0,179056.23
5963,850,Germany,Female,40,7,104449.8,1,1,1,747.88
1615,685,Germany,Female,21,6,97956.5,1,1,1,164966.27
5920,698,France,Male,36,6,0.0,2,0,1,19231.98
9591,708,Spain,Male,40,8,83015.71,1,1,0,101089.76
3891,723,Germany,Female,28,5,91938.31,1,1,0,143481.85
2083,534,France,Male,24,1,0.0,1,1,1,169653.32
4574,659,France,Female,32,9,0.0,2,1,1,93155.75
5594,688,France,Male,40,6,0.0,1,1,1,47886.44
5121,677,Spain,Female,35,0,0.0,2,0,0,76637.38
4587,500,France,Female,34,6,0.0,1,1,1,140268.45
4902,652,France,Male,30,2,176166.56,2,1,1,152210.81
8252,744,France,Male,56,9,0.0,2,1,1,169498.61
5916,633,Spain,Female,39,2,0.0,2,0,0,191207.03
5129,588,Germany,Female,42,2,164307.77,1,1,0,48498.19
8334,705,France,Female,37,10,0.0,2,1,1,13935.53
1918,768,France,Female,28,3,109118.05,2,0,1,50911.41
8330,815,Spain,Female,38,2,48387.0,1,1,0,184796.84
5707,746,France,Male,25,9,0.0,2,0,1,88728.47
5384,727,Spain,Male,28,1,0.0,1,1,0,40357.39
6336,536,Germany,Female,35,4,121520.36,1,0,0,77178.42
2054,747,France,Male,41,5,0.0,2,1,1,22750.17
7612,678,Spain,Male,28,5,138668.18,1,1,1,54144.01
9209,560,France,Male,24,1,116084.32,1,1,0,89734.7
3963,607,France,Male,31,8,0.0,2,1,1,43196.5
1126,663,Spain,Female,33,8,122528.18,1,1,0,196260.3
3428,641,France,Female,35,4,0.0,2,0,0,125986.18
4601,642,Germany,Male,30,8,134497.27,1,0,0,43250.54
3721,731,France,Female,41,9,152243.57,1,1,1,88783.59
2389,655,Spain,Female,35,1,82231.51,2,1,0,88798.02
1322,700,France,Female,44,2,58781.76,1,1,0,16874.92
1603,576,Germany,Female,36,8,166287.85,1,1,1,23305.85
7224,751,Spain,Female,34,8,127095.14,2,0,0,479.54
7425,552,Germany,Male,33,3,144962.74,1,1,0,58844.84
4336,580,Germany,Male,38,9,115442.19,2,1,0,128481.5
5593,617,Spain,Male,50,7,0.0,1,1,0,184839.7
4411,657,Spain,Male,42,5,41473.33,1,1,0,112979.6
5858,570,France,Female,30,10,176173.52,1,1,0,97045.32
9343,845,Germany,Female,43,3,152063.59,2,1,0,97910.06
3991,496,Germany,Female,59,7,91680.1,2,1,0,163141.18
6079,609,Germany,Male,31,9,103837.75,1,1,1,150218.11
1559,760,Germany,Male,42,0,77992.97,2,1,1,97906.38
4682,809,France,Male,24,7,109558.36,1,1,0,183515.13
7557,426,France,Male,34,9,0.0,2,1,0,107876.91
3772,745,Spain,Male,34,7,132944.53,1,1,1,31802.92
8779,701,France,Female,34,3,105588.66,1,0,1,74694.41
3457,657,Spain,Male,36,8,188241.05,2,0,0,183058.51
8383,493,France,Female,36,5,148667.81,2,1,0,56092.51
1354,611,Spain,Male,52,7,0.0,1,0,1,73585.18
45,776,Germany,Female,32,4,109421.13,2,1,1,126517.46
9872,588,Spain,Male,37,2,0.0,2,0,1,187816.59
748,727,Spain,Male,38,2,62276.99,1,1,1,59280.79
7917,613,Germany,Male,38,9,126265.88,2,0,0,15859.95
4241,793,Spain,Male,63,0,0.0,2,0,1,27166.75
5628,681,Germany,Female,44,3,105206.7,2,1,1,163558.36
4657,687,France,Male,48,4,0.0,2,1,1,170893.85
4238,655,France,Female,39,6,94631.26,2,1,1,148948.52
3460,470,Germany,Male,39,5,117469.91,2,0,0,63705.9
7381,620,Germany,Female,25,8,141825.88,1,1,1,73857.94
5549,779,Spain,Male,33,3,0.0,2,1,0,30804.68
7075,778,France,Female,34,7,109564.1,1,0,1,113046.81
5838,669,Spain,Male,51,3,88827.53,1,0,0,85250.77
8091,768,France,Male,29,2,95984.69,2,1,1,73686.75
5474,651,France,Female,34,9,0.0,2,1,0,138113.71
3614,558,Germany,Female,36,0,126606.63,2,1,1,172363.52
7501,681,France,Female,58,8,93173.88,1,1,1,139761.25
7053,755,Germany,Male,43,6,165048.5,3,1,0,16929.41
7367,606,Spain,Male,42,10,0.0,2,1,0,177938.52
8019,683,France,Female,73,8,137732.23,2,1,1,133210.44
9638,744,Germany,Female,50,1,121498.11,2,0,1,106061.47
9055,630,France,Male,55,2,0.0,1,1,1,106202.07
664,661,France,Female,41,1,0.0,2,0,1,131300.68
2319,636,Germany,Female,37,9,157098.52,1,1,1,153535.27
3542,692,Spain,Female,34,4,109699.08,1,1,1,37898.91
3677,631,Spain,Male,33,2,0.0,2,1,1,158268.84
9599,749,Germany,Female,32,7,79523.13,1,0,1,157648.12
3091,656,France,Male,37,2,0.0,2,0,1,67840.81
675,563,France,Female,39,5,0.0,2,1,1,17603.81
8676,582,France,Male,41,1,40488.76,1,1,0,128528.83
4884,678,Germany,Male,49,2,116933.11,1,1,0,195053.58
8079,643,France,Male,37,6,0.0,2,0,0,142454.77
1962,358,Spain,Female,52,8,143542.36,3,1,0,141959.11
1840,464,Spain,Female,34,5,76001.57,1,1,1,158668.87
7168,507,France,Male,33,7,0.0,2,1,1,85411.01
9898,589,France,Male,38,4,0.0,1,1,0,95483.48
3538,554,Germany,Female,43,2,120847.11,1,1,0,7611.61
8026,607,France,Female,33,8,91301.72,1,0,1,130824.57
4866,522,Germany,Female,37,3,95022.57,1,1,1,129107.59
4174,568,France,Male,51,4,0.0,3,1,1,66586.56
8088,541,Germany,Female,39,9,100116.67,1,1,1,199808.1
4377,719,France,Female,37,9,101455.7,1,1,0,25803.59
6211,502,Germany,Female,40,7,117304.29,1,0,0,196278.32
4766,659,Spain,Female,38,9,0.0,2,1,1,35701.06
411,850,France,Male,38,1,0.0,2,1,1,80006.65
613,667,Spain,Male,38,1,87202.38,1,1,1,77866.91
6126,535,France,Female,29,5,0.0,2,0,1,52709.55
5210,551,France,Male,35,7,129717.3,2,0,0,86937.2
1430,820,France,Female,29,3,82344.84,1,0,1,115985.38
2425,684,Spain,Female,39,4,139723.9,1,1,1,120612.11
8841,557,Spain,Male,36,1,113110.26,1,1,0,98413.1
3833,609,Germany,Male,38,6,140752.06,2,0,1,171430.16
4718,505,France,Male,26,8,112972.57,1,1,0,145011.62
7185,777,Germany,Male,44,3,124655.59,2,0,1,79792.3
1417,607,Germany,Female,24,2,109483.54,2,0,1,127560.77
7199,649,Spain,Female,32,7,0.0,1,1,0,28797.32
604,702,France,Male,37,10,150525.8,1,1,1,94728.49
1272,585,Germany,Female,39,7,165610.41,2,0,0,131852.01
3964,476,France,Male,37,4,0.0,1,1,1,55775.84
6367,536,France,Female,41,9,0.0,1,1,0,121299.14
8746,660,France,Male,34,8,106486.66,2,0,1,182262.66
247,545,France,Female,26,1,0.0,2,1,1,199638.56
9226,586,France,Male,27,5,130231.8,2,1,1,192427.16
1982,667,France,Male,28,6,165798.1,1,1,0,147090.9
2835,653,Spain,Male,35,6,116662.96,2,1,1,23864.21
5375,686,Spain,Male,38,7,111484.88,1,1,1,76076.2
199,521,France,Male,35,6,96423.84,1,1,0,10488.44
485,730,France,Female,35,0,155470.55,1,1,1,53718.28
6083,519,Germany,Male,38,1,114141.64,1,1,1,60988.21
8956,728,Spain,Male,42,8,0.0,2,0,1,41823.22
455,506,France,Male,36,5,0.0,2,1,0,164253.35
9798,600,Germany,Male,30,2,119755.0,1,1,1,21852.91
8826,412,France,Male,29,5,0.0,2,0,0,12510.53
6515,803,France,Female,65,2,151659.52,2,0,1,6930.17
1721,585,France,Female,39,7,0.0,2,1,0,2401.26
7050,591,France,Male,29,6,0.0,2,1,1,108684.65
6382,797,France,Male,24,5,0.0,2,1,0,182257.61
8165,606,Spain,Male,37,8,154712.58,2,1,0,89099.18
5767,579,France,Female,45,2,0.0,2,0,0,11514.39
5809,850,France,Male,32,4,0.0,1,1,1,180622.02
4626,506,France,Female,32,3,0.0,1,1,1,80823.02
862,725,France,Male,41,7,113980.21,1,1,1,116704.25
2094,531,Spain,Male,70,1,0.0,2,0,0,99503.19
947,715,France,Female,38,5,118590.41,1,1,1,5684.17
5641,675,Germany,Male,42,2,92616.64,2,1,0,8567.18
1444,583,France,Female,38,10,0.0,2,0,1,113597.64
1280,741,Spain,Male,25,4,0.0,2,1,1,73873.65
3110,546,Germany,Female,74,8,114888.74,2,1,1,66732.63
8952,565,Germany,Female,47,10,139756.12,1,1,0,165849.49
7609,681,France,Male,46,0,105969.42,1,1,0,5771.56
5135,518,France,Male,40,4,0.0,2,0,1,194416.58
3016,797,France,Male,32,10,114084.6,1,0,1,125782.29
2302,723,France,Female,49,4,0.0,2,0,1,89972.25
2004,684,Germany,Male,29,8,127269.75,1,0,1,79495.01
4580,478,France,Female,32,6,71187.24,1,1,1,110593.62
8704,784,Spain,Female,42,2,109052.04,2,1,0,6409.55
1005,521,Germany,Male,52,5,116497.31,3,0,0,53793.1
5138,850,France,Male,34,6,0.0,1,0,1,52796.31
4317,492,France,Female,28,9,0.0,2,1,0,95957.09
6558,686,France,Male,38,0,138131.34,1,0,1,115927.85
4387,732,Spain,Female,67,1,0.0,2,1,1,177783.04
2132,609,Spain,Female,43,6,86053.52,2,1,1,113276.46
4265,709,France,Male,32,4,147307.91,1,0,1,40861.55
2057,743,France,Male,32,9,0.0,2,1,0,175252.78
5386,642,France,Male,48,9,118317.27,4,0,0,78702.98
229,594,Germany,Female,29,3,130830.22,1,1,0,61048.53
2889,594,France,Female,31,9,0.0,1,0,1,5719.11
4472,660,Germany,Female,23,6,166070.48,2,0,0,90494.72
6064,772,France,Male,23,2,0.0,2,1,0,18364.19
7924,833,France,Male,47,2,0.0,2,1,1,182247.77
7649,715,France,Female,31,3,110581.29,1,1,1,94715.24
8381,550,Germany,Male,36,2,113877.23,2,1,0,174921.91
209,671,France,Male,45,2,106376.85,1,0,1,158264.62
2758,624,France,Male,36,6,0.0,2,0,0,84635.64
8471,525,France,Male,51,10,0.0,3,1,0,171045.35
2948,620,France,Female,29,1,138740.24,2,0,0,154700.61
7116,588,Germany,Male,49,6,132623.76,3,1,0,36292.94
6330,744,France,Female,39,6,0.0,1,0,0,10662.58
1728,758,Spain,Female,40,5,93499.82,2,0,0,123218.81
4176,754,Germany,Female,39,8,129401.87,1,1,1,87684.93
337,649,France,Male,33,2,0.0,2,1,0,2010.98
4984,553,France,Female,31,4,0.0,2,1,1,89087.4
6878,651,France,Male,35,0,181821.96,2,0,1,36923.67
7248,605,Spain,Female,57,2,0.0,3,1,0,66652.75
8452,744,Spain,Female,46,1,0.0,3,1,1,177431.59
1226,531,Germany,Female,42,6,88324.31,2,1,0,75248.75
7608,695,Spain,Female,31,5,0.0,2,0,1,13998.88
6827,718,France,Female,49,10,0.0,1,1,0,184474.72
3540,672,France,Male,43,5,0.0,1,0,0,63833.09
5868,713,France,Male,46,5,0.0,1,1,1,55701.62
2111,642,France,Male,25,7,0.0,2,1,0,102083.78
2691,721,France,Female,37,1,0.0,2,1,0,70810.8
7153,574,Spain,Male,36,3,0.0,2,1,1,8559.66
3707,652,Spain,Female,42,3,83492.07,2,1,0,37914.12
1017,778,Germany,Male,41,7,139706.31,1,1,0,63337.19
8511,643,Germany,Male,28,9,160858.13,2,1,0,27149.27
2807,705,France,Male,33,3,144427.96,2,1,0,113845.19
5015,682,France,Male,50,6,121818.84,2,0,1,124151.37
1928,484,Germany,Male,54,3,134388.11,1,0,0,49954.79
350,659,Spain,Male,32,3,107594.11,2,1,1,102416.84
5173,800,Spain,Male,38,9,0.0,1,1,0,78744.39
4192,632,France,Male,60,2,0.0,2,0,1,2085.32
1934,726,Germany,Male,30,5,111375.32,2,1,0,2704.09
6901,507,France,Female,31,0,106942.08,1,0,1,44001.11
4823,786,Spain,Female,32,6,114512.59,1,1,0,15796.66
564,689,Spain,Female,38,6,121021.05,1,1,1,12182.15
1582,690,France,Male,38,1,94456.0,2,0,1,55034.02
4694,520,Spain,Male,45,7,107023.03,1,1,0,32903.93
2175,757,Germany,Female,34,9,101861.36,2,0,0,187011.96
7028,718,Germany,Male,26,7,147527.03,1,0,0,51099.56
4880,751,Spain,Male,33,4,79281.61,1,1,0,117547.76
2228,644,France,Female,37,8,0.0,2,1,0,20968.88
1115,479,Spain,Male,48,5,87070.23,1,0,1,85646.41
3126,656,France,Male,43,7,134919.85,1,1,0,194691.95
3544,731,Spain,Male,33,1,0.0,1,1,0,130726.96
5048,707,France,Male,42,2,16893.59,1,1,1,77502.56
7476,759,France,Male,44,2,111095.58,2,1,0,100137.7
821,841,France,Female,36,5,156021.31,1,0,0,122662.98
6532,756,France,Male,67,4,0.0,3,1,1,93081.87
2272,491,Germany,Female,57,4,112044.72,1,1,1,41229.73
5545,609,Germany,Male,33,6,94126.67,1,0,0,93718.16
81,777,France,Female,32,2,0.0,1,1,0,136458.19
1323,635,Spain,Male,50,7,159453.64,2,0,0,54560.79
9405,575,France,Male,36,7,0.0,1,1,1,55868.97
1614,641,France,Male,77,9,0.0,3,1,1,81514.06
831,708,Spain,Female,41,5,0.0,1,0,1,157003.99
3883,519,France,Male,39,1,97700.02,1,1,1,30709.03
8641,604,Germany,Female,47,4,118907.6,1,0,1,47777.15
4464,641,France,Male,41,6,0.0,2,1,0,65396.79
5339,496,Germany,Female,55,4,125292.53,1,1,1,31532.96
8066,504,Germany,Male,43,5,134740.19,2,1,0,181430.91
1649,731,Spain,Male,41,4,0.0,2,1,0,22299.27
4065,697,Spain,Male,30,1,0.0,2,0,0,735.79
9665,547,France,Male,30,6,0.0,2,1,1,18471.86
3038,744,France,Male,47,9,0.0,2,1,0,113163.17
3320,712,France,Male,24,2,0.0,1,0,1,121232.51
7143,719,France,Female,54,7,0.0,2,1,1,125041.52
6889,473,France,Female,25,6,110666.42,2,0,0,46758.42
5092,688,France,Female,39,0,0.0,2,1,0,53222.15
3720,473,Germany,Male,40,8,152576.25,2,1,0,73073.68
2423,662,France,Female,29,10,0.0,2,1,0,137508.31
749,460,Germany,Male,46,4,127559.97,2,1,1,126952.5
5271,721,Germany,Male,40,6,100275.88,1,1,0,138564.48
2373,616,France,Male,31,3,94263.91,2,1,0,168895.06
4693,543,France,Female,32,7,147256.86,1,1,0,112771.95
9879,486,Germany,Male,62,9,118356.89,2,1,0,168034.83
8370,612,France,Male,32,3,121394.42,1,1,0,164081.42
7319,474,Germany,Female,37,5,142688.57,2,1,1,110953.33
4368,648,Germany,Male,33,5,138664.24,1,1,0,29076.27
6785,621,Spain,Male,41,5,104631.67,1,1,1,95551.22
7401,633,France,Female,39,9,129189.15,2,0,0,170998.83
1139,727,Spain,Female,57,1,109679.72,1,0,1,753.37
7631,677,Spain,Male,40,7,95312.8,1,1,1,62944.75
2231,746,France,Male,35,2,172274.01,1,1,0,22374.97
2164,767,Spain,Male,77,8,149083.7,1,1,1,190146.83
5217,724,France,Male,28,5,97612.12,1,1,1,96498.14
9444,581,Germany,Male,41,2,127913.71,2,1,1,44205.95
9237,740,Germany,Male,40,4,114318.78,2,1,0,129333.69
4561,562,Germany,Male,31,4,127237.25,2,0,1,143317.42
1570,717,Spain,Female,49,1,110864.38,2,1,1,124532.9
172,480,Germany,Male,44,10,129608.57,1,1,0,5472.7
7163,850,France,Female,46,3,0.0,2,1,1,187980.21
2087,716,France,Female,52,7,65971.61,2,1,0,14608.0
4667,749,Germany,Male,54,3,144768.94,1,1,0,93336.3
4565,593,Spain,Female,46,2,76597.79,1,1,1,54453.72
7089,635,Spain,Female,48,2,0.0,2,1,1,136551.25
6569,581,Germany,Male,38,1,133105.47,1,1,0,105732.9
4783,710,France,Female,37,5,0.0,2,1,0,115403.31
2684,574,Spain,Female,28,7,0.0,2,0,0,185660.3
1832,620,France,Male,22,0,0.0,1,1,0,32589.45
8546,553,Germany,Male,35,2,158584.28,2,1,0,43640.16
5065,832,France,Female,27,10,98590.25,1,1,0,30912.89
9130,756,Germany,Female,39,5,149363.12,2,1,1,109098.39
9355,739,Spain,Female,40,8,0.0,1,1,0,167030.51
4412,666,France,Female,40,2,0.0,2,0,0,36371.27
7207,520,Spain,Female,30,4,145222.99,2,0,0,145160.96
9890,662,Spain,Male,37,4,155187.3,1,1,0,48930.8
834,633,France,Female,30,6,0.0,2,0,0,41642.29
6821,802,France,Female,39,7,120145.96,2,0,1,59497.01
